run_id,baseline,err_real_mean,err_dos_mean,time_in_dt_ratio,dos_duty,dos_switches
sharpL_0_000_859925_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_000_859925,0,0.2513374984216705,1.979113562434376,0.26958333333333334,0.26997728618390565,5
sharpL_0_001_162641_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_001_162641,0,0.3416966957293898,2.7878847230586947,0.4483333333333333,0.44813111967755465,7
sharpL_0_002_695418_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_002_695418,0,0.231566815581722,0.9320062088715804,0.15916666666666668,0.15881492228949584,3
sharpL_0_003_887091_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_003_887091,0,0.2484140013615949,2.7937366052968393,0.26458333333333334,0.2643720596614595,5
sharpL_0_004_765965_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_004_765965,0,0.3277114306784777,2.877603305778135,0.42125,0.4213583568334413,7
sharpL_0_005_590938_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_005_590938,0,0.28500412608350134,2.1799090954798115,0.32916666666666666,0.32978997416463396,6
sharpL_0_006_668106_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_006_668106,0,0.2690285966903188,1.2642341133370125,0.22291666666666668,0.22304110536811325,4
sharpL_0_007_365464_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_007_365464,0,0.2892571146952829,2.0592378174560313,0.30541666666666667,0.30536720015538915,6
sharpL_0_008_706353_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_008_706353,0,0.3096990659632598,2.850888915960208,0.39416666666666667,0.39512237326418365,6
sharpL_0_009_470613_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_009_470613,0,0.274146687774709,2.220285881673879,0.2991666666666667,0.2996435785611171,6
sharpL_0_010_827189_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_010_827189,0,0.2736775165360212,2.497642800721282,0.3025,0.3027192264430737,5
sharpL_0_011_222811_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_011_222811,0,0.2499016654447117,2.889611034664952,0.29125,0.2916589888691788,5
sharpL_0_012_056266_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_012_056266,0,0.34944906657418046,2.0072733321508553,0.40458333333333335,0.4051580936023581,7
sharpL_0_013_848005_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_013_848005,0,0.2577337305884511,2.8575198759194933,0.34791666666666665,0.34808517981838766,6
sharpL_0_014_552311_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_014_552311,0,0.2602689668633208,2.8285594302368238,0.28125,0.28113560090182904,5
sharpL_0_015_524085_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_015_524085,0,0.27410612416117525,2.8775893197123605,0.31,0.31032835270517417,6
sharpL_0_016_679738_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_016_679738,0,0.27321991331897055,1.3734516892890682,0.22375,0.22374175012889516,4
sharpL_0_017_166772_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_017_166772,0,0.3054980168708755,1.5849832295588422,0.3016666666666667,0.30164043021810855,5
sharpL_0_018_427925_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_018_427925,0,0.2806274836241231,2.905442801892841,0.31875,0.3184186623902834,5
sharpL_0_019_152468_healthy,1,0.18839979587468292,0.18839979587468292,0.0,0.0,0
sharpL_0_019_152468,0,0.28668643779566344,1.9640109370844248,0.2579166666666667,0.257883038900153,4
